InstrumentId	Isin	Desc	CurrencyStr	Date
G1762	ES0377929015	TDA 25 B	EUR	20170914
G1806	XS0193406609	PARGN 7X B1B	EUR	20170914
G1789	XS0273894732	HARBM 7X C	EUR	20170914
G2218	US12668A3N35	CWALT 2005-72 A1	USD	20170914
G1816	US228819AA63	CRGT 2007-1 A1	USD	20170914
G2434	US64352VDL27	NCHET 2003-4 M2	USD	20170914
G2457	US92922FV215	WAMU 2005-AR9 X	USD	20170914
G1797	XS0284845343	LAMBD 2007-1X C2	EUR	20170914
G1736	XS0269736194	GSHAM 2006-2X F	EUR	20170914
G2204	US004375FA44	ACCR 2006-1 M4	USD	20170914
G1846	ES0312885025	BCJAF 6 B	EUR	20170914
G2249	US23303PAA84	DBARN 2007-AHM1 N1	USD	20170914
G1818	ES0310110020	BBVAP 3 B	EUR	20170914
G1862	IT0004095680	ARCOB 2006-1 B	EUR	20170914
G2512	US44927UAD37	ICEC 2012-1A INC	USD	20170914
G1768	IT0003963409	ITALF 2005-1 B	EUR	20170914
G2518	US68400XAY67	OOMLT 2002-6 A2	USD	20170914
G1813	XS0264193284	AIREM 2006-1X 2B2	EUR	20170914
G1814	XS0235420139	PARGN 10X B1A	GBP	20170914
G2374	US437690AE03	HMAC 2004-1 M4	USD	20170914
G2411	US46629MAF23	JPMCC 2006-LDP8 A4	USD	20170914
G2212	US16678RAS67	CCMFC 2004-1A A1	USD	20170914
G2449	US929321AA59	LBAHC 2006-9 N1	USD	20170914
G2453	US93363TAA07	WAMU 2006-AR11 1A	USD	20170914
G2479	US94985FAG37	WFALT 2007-PA2 2A1	USD	20170914
G2454	US898482AV64	TMFI 1997-1 B2	USD	20170914
G2482	US939346AF96	WMALT 2006-AR9 CX2P	USD	20170914
G1406	IT0003937486	SESTA 3 B	EUR	20170914
G1775	XS0215477869	CELF 2005-1X E1	EUR	20170914
G1871	XS0294757256	ECLIP 2007-1X C	GBP	20170914
G2244	US22545YAY77	CSMC 2007-C2 J	USD	20170914
